Team,Opponent,Rank,Site,TV,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,conference_game,isRanked,Win,Team_Score,Opp_Score,OT,Special,GD,DateTime,Year,State,Region,OppisRanked
Penn State,Toledo,99,"Beaver StadiumUniversity Park, PA",1,94296,0,1,93967,1.003501229,0,1,0.39,0.0,0.0,79,69,99,Big-10,1,0,0,6,24,0,0,0,2000-09-02 12:00:00,2000,PA,N,0
Washington,Idaho,14,"Husky StadiumSeattle, WA",1,70117,0,0,72500,0.9671310340000001,0,1,0.0,0.0,0.0,68,53,99,Pac-12,1,1,1,44,20,0,0,0,2000-09-02 12:30:00,2000,WA,W,0
UCLA,Alabama,99,"Rose BowlPasadena, CA",1,76640,0,0,92542,0.828164509,0,0,0.0,0.0,0.0,76,60,3,Pac-12,1,0,1,35,24,0,0,0,2000-09-02 12:30:00,2000,CA,W,1
Notre Dame,Texas A M,99,"Notre Dame StadiumSouth Bend, IN",1,80232,0,0,80232,1.0,0,1,0.32,0.0,0.0,84,70,25,Independent,0,0,1,24,10,0,0,0,2000-09-02 13:00:00,2000,IN,M,1
Illinois,Middle Tennessee,21,"Memorial StadiumChampaign, IL",,35032,0,0,70904,0.494076498,0,0,0.0,0.0,0.0,93,66,99,Big-10,1,1,1,35,6,0,0,0,2000-09-02 14:30:00,2000,IL,M,0
Memphis,Mississippi State,99,"Liberty Bowl Memorial StadiumMemphis, Tennessee",1,34113,0,0,62921,0.542156037,0,0,0.0,0.0,0.0,99,71,99,CUSA,1,0,0,3,17,0,0,0,2000-09-02 14:30:00,2000,TN,S,0
Virginia,BYU,99,"Scott StadiumCharlottesville, VA ",1,60435,0,0,61500,0.982682927,0,0,0.52,0.0,0.0,89,70,99,ACC,1,0,0,35,38,0,1,0,2000-09-02 15:30:00,2000,VA,S,0
Oregon State,Eastern Washington,99,"Reser StadiumCorvallis, OR",,30782,0,0,35362,0.8704824390000001,0,0,0.07,0.0,0.0,70,49,99,ACC,1,0,1,21,19,0,0,0,2000-09-02 15:30:00,2000,OR,W,0
Clemson,The Citadel,17,"Memorial StadiumClemson, SC",,75086,0,0,81473,0.921605931,0,1,0.65,0.0,0.0,83,70,99,ACC,1,1,1,38,0,0,0,0,2000-09-02 18:00:00,2000,SC,S,0
Rutgers,Villanova,99,"Rutgers StadiumPiscataway, New Jersey",1,23752,0,0,41500,0.572337349,0,0,0.86,0.0,0.0,86,72,99,AAC,1,0,1,34,21,0,0,0,2000-09-02 18:00:00,2000,NJ,N,0
Kansas State,Louisiana Tech,8,"KSU StadiumManhattan, KS",1,48902,1,0,50300,0.9722067590000001,0,0,0.0,0.0,0.0,111,71,99,Big-12,1,1,1,54,10,0,0,0,2000-09-02 18:00:00,2000,KS,M,0
Oklahoma,UTEP,19,"Oklahoma Memorial StadiumNorman, OK",1,74761,0,0,72765,1.02743077,0,1,0.0,0.0,0.0,105,78,99,Big-12,1,1,1,55,14,0,0,0,2000-09-02 18:30:00,2000,OK,S,0
Missouri,Western Illinois,99,"Faurot FieldColumbia, MO",,53224,0,0,68174,0.780708188,0,0,0.0,0.0,0.0,94,72,99,Big-12,1,0,1,50,20,0,0,0,2000-09-02 18:30:00,2000,MO,M,0
Georgia Tech,UCF,99,Bobby Dodd StadiumAtlanta,,40993,0,0,43719,0.937647247,0,0,0.32,0.0,0.0,84,70,99,ACC,1,0,1,21,17,0,0,0,2000-09-02 19:00:00,2000,GA,S,0
Syracuse,Buffalo,99,"Carrier DomeSyracuse, NY",,40634,0,0,49550,0.820060545,0,0,0.0,0.0,0.0,81,63,99,Big East,1,0,1,63,7,0,0,0,2000-09-02 19:00:00,2000,NY,N,0
New Mexico,Boise State,99,"University StadiumAlbuquerque, NM",,22090,0,1,31218,0.7076045870000001,0,0,0.0,0.0,0.0,88,56,99,MWC,1,0,0,14,31,0,0,0,2000-09-02 19:00:00,2000,NM,W,0
