OBJECTID,PRECINCT_N,FACILITY_D,ACCESSIBLE,GIS_ID,WEB_URL,NAME,ADDRESS,ADDRESS_ID,WARD,X,Y,PORTION,ZIPCODE
89,13,Church Hall,Y,plp_ 118,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. Margaret’s Episcopal Church,1830 CONNECTICUT AVENUE NW,299899,Ward 2,395955.2,138610.69,Null,20009
112,24,Multi-Purpose Lounge,Y,plp_ 80,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Marie Reed Elementary School,2201 18TH STREET NW,310614,Ward 1,396459.87,139027.66,Null,20009
113,29,Multi-Purpose Room,Y,plp_ 20,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Washington Hebrew Congregation,3935 MACOMB STREET NW,223083,Ward 3,393203.2,140663.41,Null,20016
114,59,Multi-Purpose Room,Y,plp_ 43,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Takoma Community Center,300 VAN BUREN STREET NW,296168,Ward 4,398435.64,144552.48,Null,20012
115,68,Gymnasium,Y,plp_ 129,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Turkey Thicket Recreation Center,1100 MICHIGAN AVENUE NE,74603,Ward 5,400641.56,141130.75,Null,20017
116,91,Multi-Purpose Room,Y,plp_ 2,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Watkins Elementary School,420 12TH STREET SE,294486,Ward 6,400867.92,135070.02,Null,20003
117,92,Gymnasium,Y,plp_ 117,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Kenilworth Recreation Center,4321 ORD STREET NE,314577,Ward 7,405121.46,137832.48,Null,20019
118,113,Gymnasium,Y,plp_ 74,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Hillcrest Recreation Center,3100 DENVER STREET SE,296174,Ward 7,403243.37,132310.93,Null,20020
119,129,Multi-Purpose Room,Y,plp_ 5,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,First Congregational United Church of Christ,945 G STREET NW,278832,Ward 2,397782.26,136743.87,Null,20001
120,99,Multi-Purpose Room,Y,plp_ 143,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Smothers Elementary School,4400 BROOKS STREET NE,294596,Ward 7,405337.95,136191.51,Null,20019
121,89,North Hall,Y,plp_ 142,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Eastern Market,225 7TH STREET SE,300829,Ward 6,400306.4,135397.02,Null,20003
122,139,Multi-Purpose Room,Y,plp_ 121,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Theodore Hagan Cultural Center,3201 FORT LINCOLN DRIVE NE,295140,Ward 5,403611.81,139592.92,Null,20018
123,98,Multi-Purpose Room,Y,plp_ 122,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Smothers Elementary School,4400 BROOKS STREET NE,294596,Ward 7,405337.95,136191.51,Null,20019
124,28,Parish Center,Y,plp_ 123,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Annunciation Parish Church,3810 MASSACHUSETTS AVENUE NW,263608,Ward 3,393426.08,140254.79,Null,20016
125,86,Multi-Purpose Room,Y,plp_ 124,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Mount Moriah Baptist Church,1636 EAST CAPITOL STREET NE,300671,Ward 6,401644.99,135807.53,Null,20003
126,19,Hallway,Y,plp_ 125,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Dunbar Senior High School,101 N STREET NW,309947,Ward 5,398899.21,137751.95,Null,20001
127,109,Gymnasium,Y,plp_ 126,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Randle-Highlands Elementary School,1650 30TH STREET SE,156337,Ward 7,403093.17,133585.82,Null,20020
128,58,Community Room,Y,plp_ 127,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Fourth District Police Station,6001 GEORGIA AVENUE NW,243485,Ward 4,397624.37,143913.13,Null,20011
129,32,Fellowship Hall (first floor) - use Connecticut Avenue entrance,Y,plp_ 128,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Wesley Methodist Church,5312 CONNECTICUT AVENUE NW,301282,Ward 3,393703.31,143493.29,Null,20015
130,50,Auditorium -Accessible rear entrance next to the parking lot,Y,plp_ 130,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Chevy Chase Community Center,5601 CONNECTICUT AVENUE NW,263959,Ward 3,393490.74,144141.13,Null,20015
131,49,Gymnasium,Y,plp_ 131,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Raymond Recreation Center,3725 10TH STREET NW,310493,Ward 4,397690.85,140949.86,Null,20010
132,16,Fellowship Hall (Lower Level) – Accessible rear entrance,Y,plp_ 132,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Fifteenth Street Presbyterian Church,1701 15TH STREET NW,240136,Ward 2,397035.66,138328.01,Null,20009
133,47,Multi-Purpose Room. Accessible ramped entrance off of alley.,Y,plp_ 133,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Powell Elementary School,1350 UPSHUR STREET NW,255302,Ward 4,397278.02,141526.35,Null,20011
134,120,Multi-Purpose Room,Y,plp_ 134,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Malcolm X Opportunity Center,1351 ALABAMA AVENUE SE,289201,Ward 8,401202.63,130797.63,Null,20032
135,105,Multi-Purpose Room,Y,plp_ 135,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Benning Park Recreation Center,5100 SOUTHERN AVE SE,296175,Ward 7,406339.46,134665.37,Null,20019
136,88,North Hall,Y,plp_ 136,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Eastern Market,225 7TH STREET SE,300829,Ward 6,400306.4,135397.02,Null,20003
137,1,Gymnasium,Y,plp_ 137,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Walker-Jones EC,1125 NEW JERSEY AVENUE NW,307735,Ward 6,398792.97,137370.7,Null,20001
138,55,Multi-Purpose Room,Y,plp_ 138,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Barnard Elementary School,430 DECATUR STREET NW (BET 4TH & 5TH STREETS),248305,Ward 4,398458.99,142259.46,Null,20011
139,17,Douglas Hall,Y,plp_ 139,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Metropolitan AME Church,1518 M STREET NW,242328,Ward 2,396924.47,137497.85,Null,20005
140,81,Gymnasium,Y,plp_ 140,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Miner Elementary School,601 15TH STREET NE,289548,Ward 6,401483,136614.12,Null,20002
141,6,Gallery,Y,plp_ 58,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Duke Ellington High School,3500 R STREET NW,294569,Ward 2,393902.4,138400.27,Null,20007
142,8,Gymnasium,Y,plp_ 36,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Palisades Recreation Center,5200 SHERIER PLACE NW,268352,Ward 3,390931.96,139636.31,Null,20016
143,14,Meeting Room,Y,plp_ 141,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,M.A.A. Carriage House Meeting Space,1781 CHURCH STREET NW,316188,Ward 2,396435.16,138083.99,Null,20036
